Результат свертки 1 файлаГлущенко Дыхательный интерфейс_ЭКГ_03_11_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;193;-592.3867;
-0.02122877;93;-682.4871;
-0.02578321;15;-743.0554;
-0.02969806;4;-786.4164;
-0.02920786;26;-828.2969;
-0.03152617;38;-879.1571;
-0.03581784;38;-940.0494;
-0.04093812;48;-1003.314;
-0.04635295;83;-1056.33;
-0.05216198;153;-1090.293;
-0.05685086;262;-1107.296;
-0.06011757;362;-1115.732;
-0.05858566;359;-1118.991;
-0.05842378;228;-1114.818;
-0.06065361;64;-1104.194;
-0.05845338;-19;-1091.923;
-0.06100743;9;-1081.942;
-0.0608493;106;-1075.589;
-0.06255765;223;-1072.728;
-0.06710602;302;-1066.953;
-0.06686705;295;-1046.481;
-0.05783848;214;-1003.021;
-0.06311763;133;-941.4131;
-0.0642321;100;-876.4308;
-0.06654517;106;-820.8829;
-0.06865116;123;-778.6284;
-0.06403776;126;-747.2285;
-0.06371848;99;-721.1601;
-0.06076288;63;-692.3359;
-0.05793952;65;-656.4569;
-0.06680156;123;-618.3429;
-0.06466153;187;-584.7338;
-0.05853221;174;-554.5922;
-0.06118528;57;-522.5912;
-0.06440077;-88;-489.4274;
-0.06171774;-163;-460.805;
-0.05564747;-134;-443.6817;
-0.04932353;-30;-443.5864;
-0.05675675;102;-462.6831;
-0.06284994;204;-494.5955;
-0.06052688;215;-524.5038;
-0.06928517;139;-536.3553;
-0.07756215;44;-527.3743;
-0.08440998;-16;-513.891;
-0.08431454;-42;-519.9938;
-0.08448301;-46;-560.0249;
-0.08680407;-29;-628.9517;
-0.1005147;0;-704.4995;
-0.1047444;44;-761.0726;
-0.09495111;117;-791.4584;
-0.09996357;210;-811.6984;
-0.1001145;281;-840.1793;
-0.1077441;265;-879.3074;
-0.09355988;136;-921.1188;
-0.08491337;-22;-957.7985;
-0.08072823;-69;-985.6533;
-0.07853086;17;-1011.091;
-0.08229263;128;-1050.471;
-0.09267239;198;-1115.421;
-0.07502018;240;-1198.899;
-0.0584675;243;-1277.106;
-0.06284614;169;-1325.117;
-0.04117477;49;-1337.634;
-0.0323512;-40;-1336.075;
-0.05067954;-68;-1348.047;
-0.0410386;-54;-1381.387;
-0.01999021;-41;-1424.05;
0.009037151;-55;-1459.354;
0.00619929;-62;-1473.041;
0.04129954;-4;-1457.974;
0.04622333;99;-1418.322;
0.05585063;141;-1360.635;
0.07953997;59;-1282.834;
0.2038978;-96;-1178.674;
0.2038978;-214;-1045.627;
0.2038978;-240;-883.8046;
0.2038978;-188;-695.4832;
0.2038978;-85;-487.2974;
0.2025881;40;-263.208;
0.2020685;131;-15.44513;
0.2003324;132;271.6596;
0.1993152;57;608.5563;
0.1982981;-13;992.3383;
0.1950663;-24;1407.859;
0.1865432;1;1837.623;
0.1805785;9;2269.606;
0.1746138;-21;2695.779;
0.1677951;-55;3113.259;
0.1614217;-41;3530.769;
0.1483242;40;3959.494;
0.1362953;145;4395.229;
0.1227932;195;4821.25;
0.1087031;133;5227.49;
0.09363598;-28;5612.872;
0.08067812;-200;5972.438;
0.06837791;-274;6294.831;
0.05200338;-226;6567.34;
0.03944121;-108;6779.227;
0.02851593;22;6925.262;
0.01389797;116;7011.778;
;125;7054.825;
;47;7070.166;
;-48;7059.886;
;-105;7009.519;
;-139;6900.254;
;-164;6722.56;
;-157;6478.145;
;-115;6178.042;
;-56;5841.819;
;12;5485.749;
;98;5111.124;
;176;4712.912;
;173;4294.361;
;41;3864.133;
;-169;3425.565;
;-316;2978.629;
;-299;2525.414;
;-143;2067.91;
;66;1607.243;
;235;1149.208;
;285;707.4849;
;189;298.834;
;25;-68.5705;
;-94;-401.9047;
;-114;-716.1183;
;-44;-1019.812;
;61;-1311.657;
;144;-1585.428;
;187;-1832.088;
;223;-2042.856;
;272;-2216.072;
;300;-2356.587;
;260;-2467.65;
;154;-2549.58;
;48;-2604.319;
;9;-2635.782;
;56;-2647.994;
;170;-2647.432;
;312;-2640.839;
;412;-2628.891;
;412;-2602.753;
;336;-2551.61;
;267;-2477.086;
;239;-2396.734;
;236;-2326.117;
;253;-2263.508;
;297;-2199.958;
;356;-2133.808;
;416;-2066.279;
;492;-1995.781;
;581;-1923.672;
;635;-1856.083;
;598;-1797.669;
;481;-1751.195;
;367;-1718.875;
;337;-1698.837;
;399;-1687.028;
;512;-1684.625;
;646;-1695.283;
;756;-1715.365;
;764;-1732.659;
;654;-1735.316;
;511;-1719.866;
;420;-1694.851;
;375;-1674.444;
;337;-1669.144;
;301;-1680.903;
;274;-1701.833;
;271;-1714.006;
;328;-1701.811;
;440;-1666.666;
;516;-1621.737;
;463;-1572.146;
;293;-1512.13;
;108;-1437.376;
;4;-1350.171;
;2;-1257.067;
;72;-1166.756;
;171;-1084.432;
;248;-1005.52;
;247;-916.9494;
;169;-805.8795;
;79;-669.2909;
;31;-517.8591;
;20;-368.8834;
;18;-234.8433;
;23;-118.9727;
;35;-16.91162;
;58;81.80245;
;98;186.1268;
;158;294.9456;
;194;401.9897;
;149;506.7391;
;20;611.2574;
;-113;712.1102;
;-161;803.2829;
;-117;880.6876;
;-28;939.679;
;71;974.5259;
;145;985.0173;
;148;982.6279;
;89;987.4208;
;35;1014.984;
;18;1060.369;
;12;1100.522;
;-6;1116.246;
;-16;1106.734;
;-3;1083.831;
;44;1063.35;
;129;1056.19;
;239;1059.155;
;323;1057.241;
;312;1043.502;
;179;1028.028;
;7;1023.858;
;-65;1033.604;
;30;1051.341;
;242;1067.254;
;439;1071.013;
;483;1061.873;
;337;1055.865;
;124;1075.149;
;2;1126.891;
;-1;1197.164;
;38;1264.74;
;64;1317.093;
;54;1353.057;
;-2;1379.482;
;-57;1408.302;
;-32;1449.284;
;80;1501.406;
;189;1557.392;
;180;1613.802;
;17;1672.297;
;-194;1732.828;
;-294;1792.199;
;-237;1845.688;
;-110;1886.917;
;0;1910.58;
;58;1920.455;
;42;1930.748;
;-34;1958.711;
;-110;2011.042;
;-150;2077.257;
;-173;2137.645;
;-199;2177.914;
;-227;2194.576;
;-253;2194.84;
;-265;2194.086;
;-242;2206.932;
;-195;2233.745;
;-177;2264.969;
;-243;2295.741;
;-397;2329.271;
;-570;2367.732;
;-663;2409.584;
;-634;2449.327;
;-506;2478.437;
;-319;2491.764;
;-140;2494.564;
;-67;2500.459;
;-113;2524.187;
;-173;2571.877;
;-156;2634.017;
;-80;2692.386;
;16;2734.482;
;150;2758.023;
;341;2767.249;
;577;2771.735;
;824;2780.544;
;1059;2793.485;
;1248;2808.638;
;1339;2833.944;
;1316;2877.625;
;1266;2933.468;
;1308;2989.074;
;1465;3038.983;
;1678;3082.159;
;1894;3115.946;
;2062;3139.993;
;2108;3162.598;
;2030;3197.615;
;1922;3254.738;
;1851;3330.616;
;1803;3412.075;
;1748;3486.463;
;1696;3547.615;
;1660;3598.347;
;1634;3650.819;
;1619;3716.667;
;1608;3794.798;
;1568;3875.808;
;1447;3954.843;
;1225;4032.739;
;968;4109.74;
;782;4185.952;
;719;4260.926;
;743;4327.313;
;795;4374.057;
;826;4400.266;
;789;4422.193;
;676;4461.271;
;535;4524.541;
;414;4597.895;
;319;4657.897;
;242;4690.034;
;183;4692.875;
;143;4674.648;
;125;4649.531;
;147;4630.571;
;203;4617.744;
;252;4601.266;
;234;4574.765;
;131;4538.871;
;24;4493.06;
;10;4434.949;
;67;4363.243;
;95;4275.015;
;76;4164.545;
;68;4031.2;
;73;3885.483;
;59;3742.709;
;39;3609.374;
;52;3478.028;
;109;3334.804;
;192;3169.66;
;266;2977.214;
;293;2756.847;
;283;2516.903;
;298;2271.551;
;372;2028.838;
;459;1788.201;
;477;1548.101;
;396;1306.897;
;268;1058.748;
;193;797.8682;
;221;523.5963;
;336;237.5169;
;488;-58.17916;
;603;-356.2379;
;604;-643.1605;
;502;-908.9211;
;395;-1155.297;
;344;-1395.78;
;315;-1645.108;
;276;-1906.893;
;247;-2172.946;
;243;-2434.18;
;259;-2685.713;
;300;-2923.515;
;365;-3144.906;
;415;-3349.997;
;388;-3540.068;
;264;-3716.84;
;109;-3885.24;
;20;-4050.151;
;36;-4212.623;
;132;-4374.048;
;267;-4539.25;
;387;-4707.437;
;422;-4864.594;
;360;-4992.858;
;271;-5088.388;
;216;-5164.484;
;193;-5237.509;
;190;-5315.623;
;211;-5400.773;
;251;-5490.286;
;306;-5574.53;
;391;-5640.588;
;515;-5683.157;
;646;-5706.584;
;704;-5716.986;
;617;-5715.773;
;409;-5702.417;
;231;-5678.345;
;218;-5649.004;
;352;-5622.248;
;517;-5603.788;
;625;-5589.877;
;639;-5566.877;
;575;-5519.597;
;502;-5442.885;
;494;-5345.677;
;534;-5242.319;
;546;-5143.806;
;507;-5056.578;
;459;-4981.901;
;444;-4911.011;
;473;-4831.015;
;547;-4737.98;
;637;-4638.083;
;665;-4534.466;
;570;-4425.516;
;405;-4314.917;
;295;-4211.187;
;313;-4120.5;
;433;-4044.408;
;594;-3981.147;
;728;-3923.584;
;767;-3860.202;
;705;-3781.494;
;618;-3685.985;
;564;-3581.783;
;543;-3482.029;
;539;-3397.579;
;558;-3331.875;
;600;-3280.239;
;657;-3231.507;
;737;-3175.125;
;845;-3109.907;
;938;-3043.833;
;945;-2981.6;
;832;-2918.063;
;673;-2845.08;
;592;-2760.053;
;640;-2668.834;
;772;-2582;
;930;-2508.907;
;1055;-2449.02;
;1078;-2389.645;
;987;-2312.46;
;878;-2208.585;
;830;-2087.497;
;831;-1968.34;
;838;-1865.306;
;849;-1782.05;
;871;-1714.223;
;909;-1648.889;
;975;-1573.046;
;1067;-1486.081;
;1152;-1397.19;
;1173;-1309.607;
;1088;-1220.892;
;941;-1131.801;
;846;-1046.877;
;866;-971.2401;
;977;-912.2097;
;1131;-876.0426;
;1283;-859.6377;
;1377;-849.0292;
;1397;-827.2205;
;1385;-785.8623;
;1347;-732.3528;
;1251;-683.8224;
;1133;-652.4683;
;1087;-640.8138;
;1133;-644.7571;
;1213;-654.5225;
;1300;-658.2742;
;1413;-651.8337;
;1538;-637.4576;
;1594;-614.575;
;1523;-582.5497;
;1368;-547.8648;
;1245;-517.1708;
;1227;-487.2486;
;1310;-453.3611;
;1454;-419.1241;
;1581;-390.0175;
;1610;-360.0611;
;1548;-314.6389;
;1489;-245.8174;
;1494;-161.6069;
;1537;-77.25189;
;1582;-2.558325;
;1626;59.1627;
;1665;108.9491;
;1696;154.541;
;1755;207.0679;
;1871;270.6032;
;2002;340.381;
;2049;410.2603;
;1963;475.7523;
;1819;533.2168;
;1742;581.8704;
;1793;621.8117;
;1933;647.9871;
;2107;652.0538;
;2260;633.2123;
;2330;604.9099;
;2298;588.5401;
;2230;595.4336;
;2190;616.6236;
;2181;631.8889;
;2186;626.9399;
;2213;597.4323;
;2259;547.1913;
;2311;489.4669;
;2379;440.4813;
;2480;404.9181;
;2583;375.6964;
;2610;348.1456;
;2519;325.2688;
;2370;311.1683;
;2271;305.0112;
;2274;300.7923;
;2357;290.4643;
;2488;268.749;
;2629;237.7538;
;2708;206.8475;
;2680;191.9959;
;2580;205.8693;
;2472;244.2126;
;2391;287.5673;
;2356;318.9754;
;2378;331.6997;
;2431;328.262;
;2478;321.1933;
;2506;326.7186;
;2510;348.6965;
;2470;376.9319;
;2361;404.3937;
;2212;433.0699;
;2093;463.0861;
;2063;489.5455;
;2110;508.9301;
;2155;516.9514;
;2140;507.7722;
;2079;481.7259;
;2004;451.795;
;1914;436.4614;
;1812;444.64;
;1716;467.0158;
;1645;481.5839;
;1603;470.5077;
;1578;434.3015;
;1543;388.7708;
;1497;350.4803;
;1488;324.424;
;1551;302.8728;
;1629;276.9653;
;1604;248.9551;
;1431;229.5562;
;1213;223.5728;
;1082;223.9265;
;1066;218.7474;
;1117;199.2194;
;1207;162.7238;
;1307;114.0553;
;1345;68.38497;
;1269;44.66484;
;1119;49.81624;
;976;70.119;
;879;85.02634;
;816;84.92349;
;780;70.11668;
;776;42.90678;
;806;9.989567;
;861;-15.53918;
;926;-27.00272;
;960;-29.54235;
;910;-30.75383;
;758;-33.73769;
;567;-39.28402;
;447;-46.54914;
;441;-52.59469;
;516;-58.90546;
;627;-74.03318;
;736;-104.6058;
;774;-141.3632;
;710;-163.5772;
;604;-156.9909;
;534;-129.4417;
;502;-102.1943;
;481;-92.65529;
;483;-106.0872;
;516;-136.3265;
;569;-167.0074;
;627;-185.6321;
;681;-195.9076;
;706;-209.4732;
;668;-226.3006;
;563;-238.0578;
;429;-241.2196;
;329;-239.3514;
;305;-238.3693;
;363;-247.8693;
;481;-274.1832;
;599;-313.4035;
;642;-352.0207;
;591;-374.4955;
;505;-370.8805;
;455;-347.7662;
;436;-324.9615;
;398;-318.4446;
;324;-328.7867;
;246;-347.7239;
;220;-363.7863;
;270;-366.1779;
;373;-351.4594;
;460;-324.9953;
;463;-292.0459;
;352;-254.8177;
;179;-215.6282;
;55;-175.8225;
;40;-136.5536;
;124;-103.7595;
;265;-86.35371;
;405;-83.46452;
;451;-80.75259;
;373;-60.4692;
;252;-15.00973;
;174;46.14203;
;135;103.0089;
;114;140.0407;
;118;152.6069;
;154;145.7934;
;217;132.8453;
;310;127.422;
;424;131.1808;
;517;137.7162;
;527;147.4404;
;422;162.7503;
;256;178.1224;
;136;186.1743;
;123;184.5627;
;191;169.803;
;300;137.4057;
;412;92.29543;
;473;48.67857;
;449;18.07665;
;378;3.275725;
;308;-2.366202;
;242;-11.37778;
;195;-33.46305;
;201;-72.25918;
;245;-125.6835;
;259;-182.8253;
;238;-228.7336;
;249;-258.0948;
;318;-277.8378;
;361;-294.4082;
;293;-309.2953;
;155;-324.3101;
;65;-340.9726;
;68;-358.1354;
;125;-380.2281;
;212;-415.4154;
;313;-458.99;
;370;-490.8589;
;341;-495.0229;
;259;-471.9188;
;187;-434.3487;
;154;-397.8643;
;166;-374.3898;
;216;-367.7545;
;273;-374.7828;
;325;-386.8123;
;395;-391.4104;
;504;-381.8032;
;618;-363.6773;
;652;-344.6978;
;545;-325.5576;
;356;-306.5424;
;220;-293.2415;
;221;-290.8606;
;330;-300.5246;
;482;-321.2498;
;616;-350.0751;
;666;-377.9099;
;612;-391.6127;
;511;-383.1889;
;429;-358.6727;
;377;-335.6501;
;341;-332.1429;
;311;-355.3968;
;290;-397.5994;
;294;-436.9264;
;339;-452.4857;
;426;-442.5523;
;519;-422.2178;
;560;-402.3587;
;482;-381.4325;
;301;-355.0637;
;142;-321.7805;
;112;-282.4631;
;204;-241.8388;
;357;-208.3981;
;502;-184.1707;
;563;-156.8745;
;507;-106.2713;
;398;-21.10752;
;323;89.21386;
;294;200.6363;
;283;293.2914;
;292;364.341;
;328;424.3376;
;373;489.1252;
;434;569.5258;
;522;664.2454;
;611;763.8547;
;626;862.5093;
;521;960.0281;
;351;1054.939;
;237;1144.549;
;265;1228.217;
;412;1303.888;
;571;1365.022;
;647;1408.461;
;618;1441.461;
;541;1477.386;
;492;1523.655;
;483;1573.411;
;468;1610.775;
;414;1624.844;
;353;1614.962;
;334;1585.213;
;368;1542.518;
;439;1496.973;
;528;1455.678;
;615;1417.941;
;630;1380.375;
;512;1340.052;
;317;1293.136;
;191;1236.393;
;201;1169.25;
;292;1090.755;
;419;997.7642;
;562;890.0132;
;651;776.1694;
;607;672.1873;
;478;589.7586;
;383;524.2043;
;368;458.4671;
;399;379.4378;
;434;285.528;
;454;183.4771;
;448;85.19168;
;442;1.58342;
;482;-67.78633;
;573;-133.6096;
;620;-202.8548;
;530;-272.7146;
;336;-337.877;
;189;-396.7947;
;176;-453.0742;
;266;-513.6918;
;389;-584.2241;
;488;-662.2234;
;508;-735.9994;
;465;-789.679;
;429;-814.968;
;426;-820.9945;
;399;-829.0823;
;340;-854.053;
;295;-896.2109;
;281;-946.7801;
;289;-994.4003;
;345;-1030.657;
;460;-1057.089;
;588;-1083.24;
;640;-1114.16;
;557;-1146.099;
;371;-1172.517;
;213;-1187.742;
;186;-1191.233;
;285;-1194.252;
;430;-1214.904;
;545;-1260.498;
;568;-1317.024;
;485;-1359.192;
;354;-1370.49;
;244;-1356.251;
;182;-1337.701;
;171;-1333.349;
;205;-1347.709;
;250;-1373.661;
;288;-1397.888;
;344;-1407.959;
;437;-1403.267;
;512;-1394.715;
;496;-1388.683;
;378;-1380.178;
;227;-1362.279;
;142;-1334.799;
;166;-1303.662;
;272;-1277.234;
;419;-1262.825;
;550;-1262.985;
;596;-1270.047;
;548;-1265.67;
;483;-1233.676;
;440;-1177.934;
;377;-1118.59;
;311;-1073.963;
;301;-1054.132;
;342;-1061.211;
;387;-1082.838;
;439;-1097.688;
;525;-1095.7;
;607;-1083.992;
;610;-1071.591;
;512;-1061.823;
;365;-1055.189;
;260;-1050.273;
;250;-1044.523;
;320;-1040.365;
;443;-1043.936;
;571;-1056.422;
;616;;
;538;;
;407;;
;319;;
;293;;
;303;;
;331;;
;360;;
;382;;
;428;;
;507;;
;543;;
;462;;
;299;;
;147;;
;72;;
;83;;
;161;;
;276;;
;393;;
;455;;
;413;;
;304;;
;219;;
;192;;
;199;;
;218;;
;248;;
;293;;
;350;;
;411;;
;465;;
;471;;
;381;;
;214;;
;82;;
;86;;
;226;;
;420;;
;565;;
;566;;
;423;;
;249;;
;155;;
;145;;
;166;;
;192;;
;212;;
;226;;
;251;;
;310;;
;381;;
;396;;
;305;;
;144;;
;24;;
;27;;
;140;;
;292;;
;413;;
;442;;
;377;;
;288;;
;241;;
;235;;
;246;;
;277;;
;319;;
;353;;
;390;;
;464;;
;567;;
;627;;
;584;;
;469;;
;386;;
;406;;
;504;;
;629;;
;754;;
;839;;
;838;;
;759;;
;656;;
;571;;
;536;;
;562;;
;623;;
;684;;
;737;;
;798;;
;863;;
;880;;
;788;;
;609;;
;465;;
;450;;
;538;;
;647;;
;712;;
;696;;
;610;;
;522;;
;491;;
;508;;
;529;;
;528;;
;504;;
;481;;
;486;;
;529;;
;581;;
;583;;
;482;;
;304;;
;161;;
;146;;
;238;;
;362;;
;458;;
;486;;
;441;;
;369;;
;326;;
;316;;
;313;;
;287;;
;213;;
;127;;
;126;;
;263;;
;463;;
;568;;
;487;;
;277;;
;89;;
;28;;
;88;;
;213;;
;340;;
;396;;
;343;;
;238;;
;166;;
;133;;
;107;;
;86;;
;87;;
;111;;
;145;;
;196;;
;285;;
;362;;
;312;;
;116;;
;-74;;
;-126;;
;-49;;
;105;;
;284;;
;388;;
;340;;
;187;;
;52;;
;-6;;
;-2;;
;25;;
;48;;
;65;;
;98;;
;159;;
;232;;
;269;;
;215;;
;78;;
;-44;;
;-69;;
;0;;
;113;;
;217;;
;235;;
;133;;
;-10;;
;-96;;
;-135;;
;-180;;
;-233;;
;-264;;
;-251;;
;-177;;
;-45;;
;89;;
;146;;
;84;;
;-53;;
;-141;;
;-77;;
;142;;
;454;;
;764;;
