–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡√Ë„Ó¸Â‚ÒÍËÈ ¿ÎÂ‘¬ÍÒ‡Ì‰_› √_27_10_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;441;502.8321;
-0.02122877;389;433.3475;
-0.02578321;356;374.3691;
-0.02969806;362;325.4491;
-0.02920786;364;284.6947;
-0.03152617;336;252.5432;
-0.03581784;289;229.2661;
-0.04093812;229;212.0742;
-0.04635295;167;199.4578;
-0.05216198;143;192.8549;
-0.05685086;193;194.5712;
-0.06011757;283;205.5892;
-0.05858566;337;225.8373;
-0.05842378;334;252.9832;
-0.06065361;318;282.3355;
-0.05845338;325;306.3008;
-0.06100743;348;315.9995;
-0.0608493;393;307.0798;
-0.06255765;471;283.3781;
-0.06710602;546;253.2488;
-0.06686705;558;225.6511;
-0.05783848;505;207.8982;
-0.06311763;433;199.8491;
-0.0642321;366;189.6994;
-0.06654517;294;163.2935;
-0.06865116;211;118.8218;
-0.06403776;153;63.24259;
-0.06371848;163;0.2748931;
-0.06076288;235;-71.12447;
-0.05793952;329;-150.8585;
-0.06680156;402;-236.2115;
-0.06466153;423;-322.1159;
-0.05853221;375;-401.4188;
-0.06118528;280;-467.881;
-0.06440077;180;-520.9525;
-0.06171774;109;-566.0952;
-0.05564747;70;-608.3921;
-0.04932353;63;-648.4269;
-0.05675675;87;-682.0729;
-0.06284994;117;-703.2608;
-0.06052688;118;-708.2358;
-0.06928517;95;-697.9572;
-0.07756215;85;-677.2416;
-0.08440998;123;-649.3071;
-0.08431454;201;-613.3851;
-0.08448301;270;-569.7947;
-0.08680407;293;-527.5158;
-0.1005147;288;-496.5047;
-0.1047444;315;-474.4846;
-0.09495111;389;-447.9397;
-0.09996357;461;-407.2862;
-0.1001145;489;-351.3568;
-0.1077441;482;-281.2365;
-0.09355988;461;-197.8623;
-0.08491337;432;-106.0658;
-0.08072823;410;-14.7157;
-0.07853086;417;65.74081;
-0.08229263;469;125.6473;
-0.09267239;553;163.6047;
-0.07502018;630;189.5156;
-0.0584675;674;215.5274;
-0.06284614;705;245.8544;
-0.04117477;734;279.4452;
-0.0323512;709;316.1469;
-0.05067954;583;355.5182;
-0.0410386;404;395.054;
-0.01999021;265;431.7666;
0.009037151;199;464.2603;
0.00619929;184;490.5947;
0.04129954;225;508.9001;
0.04622333;316;518.6238;
0.05585063;392;522.8708;
0.07953997;375;525.8184;
0.2038978;291;527.5359;
0.2038978;250;520.8391;
0.2038978;288;497.4098;
0.2038978;331;455.7315;
0.2038978;316;399.9837;
0.2025881;287;332.1135;
0.2020685;314;251.9904;
0.2003324;386;163.9131;
0.1993152;444;77.38872;
0.1982981;454;-0.7816837;
0.1950663;424;-71.9546;
0.1865432;382;-144.2084;
0.1805785;366;-225.4439;
0.1746138;409;-316.8769;
0.1677951;498;-413.2625;
0.1614217;562;-508.0359;
0.1483242;541;-595.2661;
0.1362953;467;-669.9967;
0.1227932;408;-731.024;
0.1087031;353;-781.2773;
0.09363598;245;-823.4134;
0.08067812;112;-857.8181;
0.06837791;35;-883.2863;
0.05200338;27;-896.4509;
0.03944121;28;-894.7495;
0.02851593;26;-880.5822;
0.01389797;54;-857.9489;
;93;-822.3343;
;97;-762.3874;
;78;-674.5825;
;77;-571.8257;
;84;-472.8549;
;59;-385.3985;
;1;-303.35;
;-42;-220.123;
;-36;-136.976;
;20;-57.79795;
;96;18.31641;
;145;97.36603;
;146;183.4102;
;118;272.0049;
;117;350.8778;
;170;411.4546;
;240;453.6588;
;284;480.2975;
;296;491.3925;
;291;489.5259;
;253;483.4236;
;180;480.3511;
;126;477.8804;
;141;466.4529;
;194;441.881;
;207;410.6761;
;172;381.2943;
;158;351.0847;
;215;310.7336;
;314;259.3188;
;392;209.4138;
;384;176.0956;
;259;164.2058;
;77;166.6548;
;-33;172.9691;
;2;177.6217;
;127;182.6427;
;251;194.3064;
;336;216.8077;
;376;250.8429;
;348;296.4802;
;246;354.0821;
;123;422.2797;
;43;498.9644;
;3;583.9905;
;-44;675.1341;
;-111;764.1788;
;-152;843.8276;
;-138;915.5562;
;-80;986.1817;
;-1;1060.958;
;69;1143.207;
;73;1233.694;
;-14;1326.977;
;-149;1413.958;
;-255;1488.727;
;-293;1550.233;
;-243;1598.423;
;-114;1634.327;
;43;1661.99;
;160;1687.582;
;213;1714.916;
;234;1742.699;
;243;1765.893;
;245;1780.801;
;243;1787.41;
;271;1786.855;
;350;1779.613;
;459;1766.755;
;543;1750.939;
;578;1737.327;
;579;1733.936;
;552;1748.047;
;493;1777.84;
;408;1810.098;
;333;1832.778;
;278;1847.45;
;236;1862.323;
;207;1876.473;
;193;1879.596;
;178;1867.94;
;145;1849.749;
;97;1833.498;
;50;1820.805;
;7;1810.342;
;-26;1798.519;
;-45;1776.949;
;-18;1738.652;
;79;1685.49;
;209;1623.267;
;306;1552.164;
;334;1468.116;
;297;1371.007;
;211;1265.165;
;124;1153.912;
;111;1036.85;
;198;910.2512;
;308;769.705;
;373;614.8074;
;405;454.5279;
;444;303.6994;
;490;170.2158;
;511;47.27636;
;483;-75.88609;
;406;-202.2124;
;301;-331.8445;
;206;-468.8946;
;157;-612.0157;
;149;-748.0272;
;149;-867.5823;
;132;-977.3658;
;90;-1085.019;
;28;-1182.225;
;-38;-1254.738;
;-87;-1301.773;
;-121;-1335.865;
;-152;-1368.778;
;-160;-1404.035;
;-93;-1441.572;
;29;-1480.292;
;104;-1515.408;
;77;-1539.344;
;10;-1549.439;
;-40;-1552.171;
;-92;-1555.863;
;-168;-1563.09;
;-218;-1573.215;
;-177;-1587.321;
;-35;-1604.638;
;168;-1621.194;
;357;-1638.072;
;457;-1663.427;
;447;-1701.262;
;379;-1745.1;
;306;-1787.203;
;236;-1826.726;
;169;-1868.079;
;122;-1918.072;
;121;-1983.362;
;160;-2062.388;
;209;-2140.831;
;237;-2201.859;
;235;-2240.585;
;204;-2263.264;
;165;-2274.799;
;148;-2275.205;
;168;-2267.703;
;207;-2259.259;
;238;-2249.768;
;265;-2229.903;
;315;-2193.152;
;371;-2142.73;
;381;-2083.337;
;324;-2013.358;
;240;-1929.881;
;185;-1838.213;
;189;-1750.019;
;244;-1672.347;
;313;-1603.876;
;366;-1542.952;
;394;-1489.843;
;390;-1439.699;
;347;-1383.181;
;283;-1318.395;
;228;-1254.833;
;191;-1204.181;
;164;-1172.384;
;137;-1157.03;
;100;-1151.532;
;58;-1153.599;
;24;-1168.007;
;2;-1195.35;
;-42;-1227.57;
;-139;-1257.977;
;-253;-1285.823;
;-291;-1308.895;
;-216;-1322.66;
;-109;-1325.813;
;-67;-1318.223;
;-77;-1297.359;
;-69;-1256.571;
;-33;-1182.504;
;-23;-1060.252;
;-74;-888.9028;
;-140;-681.5752;
;-148;-444.5797;
;-73;-168.6011;
;28;159.2137;
;108;545.4741;
;177;993.1938;
;261;1504.951;
;334;2085.686;
;339;2743.859;
;283;3486.071;
;241;4312.896;
;272;5222.499;
;329;6211.639;
;328;7272.826;
;270;8397.266;
;252;9582.673;
;323;10829.76;
;413;12132.5;
;422;13477.95;
;329;14854.33;
;201;16250.76;
;118;17650.26;
;106;19028.97;
;140;20363.36;
;170;21636.74;
;169;22838.61;
;159;23960.39;
;160;24989.64;
;148;25909.22;
;99;26697.26;
;48;27330.83;
;37;27789.8;
;55;28062.7;
;81;28145.39;
;126;28034.94;
;194;27726.24;
;254;27216.04;
;272;26506.28;
;245;25604.22;
;186;24520.91;
;125;23270.21;
;113;21864.09;
;168;20310.63;
;258;18620.61;
;343;16814.43;
;421;14918.8;
;493;12960.32;
;529;10965.92;
;502;8962.072;
;442;6967.376;
;415;4992.811;
;450;3049.843;
;510;1152.511;
;552;-685.0648;
;579;-2444.807;
;614;-4102.826;
;653;-5637.263;
;672;-7037.553;
;648;-8306.556;
;570;-9452.404;
;452;-10476.88;
;351;-11376.39;
;334;-12154.12;
;387;-12823.03;
;427;-13396.13;
;430;-13880.47;
;473;-14277.92;
;600;-14586.07;
;718;-14802.8;
;720;-14934.75;
;636;-14995.98;
;562;-15000.69;
;528;-14965.01;
;522;-14907.44;
;563;-14838.62;
;658;-14755.15;
;756;-14648.66;
;813;-14517.58;
;846;-14369.51;
;885;-14214.98;
;909;-14061.79;
;890;-13913.7;
;853;-13772.83;
;847;-13640.31;
;889;-13511.86;
;942;-13381.27;
;956;-13249.64;
;896;-13120.92;
;770;-12989.67;
;634;-12842.93;
;551;-12675.73;
;525;-12496.6;
;527;-12316.58;
;573;-12139.98;
;675;-11962.65;
;747;-11774.19;
;693;-11562.57;
;569;-11318.91;
;514;-11040.45;
;535;-10732.87;
;511;-10405.69;
;397;-10062.21;
;284;-9699.587;
;245;-9318.224;
;253;-8923.819;
;268;-8522.853;
;310;-8119.216;
;384;-7710.399;
;427;-7284.279;
;387;-6832.715;
;296;-6365.447;
;223;-5903.788;
;178;-5461.482;
;139;-5039.575;
;125;-4631.295;
;166;-4229.627;
;222;-3833.051;
;226;-3445.802;
;204;-3075.115;
;230;-2727.622;
;295;-2404.528;
;316;-2100.253;
;268;-1810.81;
;220;-1538.874;
;240;-1288.304;
;326;-1057.838;
;425;-843.9603;
;480;-643.3497;
;453;-452.3232;
;345;-268.448;
;205;-94.73835;
;85;60.27537;
;3;186.3653;
;-35;279.6517;
;-9;345.827;
;69;395.3763;
;122;438.1957;
;86;485.0643;
;-15;541.5276;
;-105;601.1246;
;-150;650.9872;
;-179;685.4465;
;-223;702.5911;
;-256;697.4016;
;-235;667.4063;
;-173;620.9899;
;-116;568.7204;
;-66;517.0712;
;-12;470.474;
;10;431.2392;
;-37;394.9244;
;-113;354.4789;
;-139;306.8771;
;-91;252.9543;
;-6;194.06;
;60;133.7501;
;98;80.02818;
;146;41.85727;
;217;23.97156;
;248;23.77024;
;200;36.63857;
;132;60.28546;
;98;92.94023;
;68;130.7689;
;14;173.806;
;-25;227.5763;
;-17;294.2704;
;12;368.8026;
;0;448.6717;
;-96;541.302;
;-246;651.9976;
;-352;773.6895;
;-352;894.1263;
;-291;1008.449;
;-242;1119.511;
;-228;1231.415;
;-233;1346.759;
;-241;1463.674;
;-243;1574.129;
;-249;1666.91;
;-284;1736.391;
;-339;1786.026;
;-373;1823.147;
;-365;1851.664;
;-322;1872.306;
;-260;1886.865;
;-179;1897.665;
;-87;1904.909;
;9;1908.742;
;112;1911.728;
;221;1915.939;
;324;1917.841;
;430;1909.904;
;584;1888.396;
;816;1857.59;
;1111;1827.761;
;1429;1811.318;
;1748;1819.037;
;2058;1853.83;
;2360;1906.114;
;2661;1962.662;
;3000;2019.744;
;3411;2084.044;
;3896;2162.528;
;4407;2256.045;
;4897;2363.436;
;5363;2484.789;
;5826;2618.047;
;6276;2760.401;
;6682;2912.945;
;7034;3078.621;
;7343;3253.6;
;7598;3427.605;
;7797;3593.007;
;7965;3749.134;
;8102;3898.226;
;8165;4043.958;
;8122;4190.027;
;7986;4334.132;
;7762;4465.982;
;7451;4578.636;
;7094;4675.757;
;6733;4762.683;
;6373;4835.054;
;6010;4885.344;
;5639;4913.436;
;5218;4926.295;
;4698;4930.393;
;4090;4928.681;
;3475;4919.463;
;2950;4898.424;
;2536;4866.545;
;2167;4831.714;
;1807;4798.397;
;1500;4761.435;
;1283;4713.076;
;1129;4654.017;
;996;4596.34;
;860;4553.6;
;703;4530.365;
;521;4520.914;
;345;4518.004;
;200;4518.378;
;95;4519.195;
;74;4517.831;
;170;4515.493;
;320;4515.429;
;397;4519.335;
;342;4530.017;
;214;4551.623;
;111;4583.512;
;74;4615.506;
;87;4634.987;
;124;4634.714;
;171;4610.034;
;209;4558.313;
;198;4483.31;
;137;4393.898;
;87;4298.488;
;75;4203.363;
;56;4111.504;
;-8;4017.354;
;-73;3905.286;
;-69;3759.942;
;8;3579.405;
;116;3375.17;
;209;3161.662;
;260;2946.55;
;249;2729.314;
;162;2509.794;
;35;2293.835;
;-47;2086.265;
;-41;1881.176;
;-1;1663.768;
;22;1422.399;
;52;1158.161;
;122;887.2317;
;220;634.2903;
;307;414.2544;
;346;217.4709;
;301;23.92742;
;201;-175.052;
;122;-377.8488;
;128;-584.1733;
;215;-795.9453;
;320;-1014.01;
;372;-1236.756;
;362;-1459.023;
;338;-1671.211;
;324;-1864.947;
;318;-2039.612;
;317;-2203.367;
;312;-2367.258;
;292;-2540.297;
;266;-2725.344;
;242;-2920.53;
;213;-3118.408;
;175;-3307.912;
;142;-3484.553;
;111;-3655.628;
;66;-3828.609;
;2;-4001.716;
;-46;-4171.527;
;-26;-4342.195;
;81;-4519.543;
;220;-4700.699;
;321;-4877.073;
;358;-5043.92;
;332;-5201.101;
;229;-5349.432;
;88;-5489.753;
;4;-5623.23;
;27;-5751.433;
;110;-5876.983;
;221;-6002.925;
;368;-6129.456;
;520;-6249.462;
;593;-6351.352;
;566;-6429.466;
;482;-6488.531;
;383;-6536.872;
;294;-6579.438;
;250;-6619.512;
;269;-6658.249;
;328;-6689.482;
;393;-6702.608;
;449;-6694.332;
;483;-6665.723;
;463;-6613.452;
;376;-6533.954;
;259;-6430.784;
;182;-6313.586;
;157;-6192.61;
;154;-6073.88;
;159;-5955.04;
;179;-5826.835;
;193;-5679.406;
;180;-5505.333;
;176;-5300.82;
;214;-5073.3;
;247;-4841.751;
;194;-4620.243;
;83;-4411.212;
;20;-4214.36;
;45;-4031.353;
;103;-3858.72;
;145;-3689.11;
;181;-3518.398;
;218;-3347.152;
;254;-3176.002;
;301;-3008.359;
;380;-2851.929;
;479;-2715.845;
;558;-2608.148;
;607;-2531.418;
;645;-2479.632;
;673;-2440.886;
;671;-2404.859;
;643;-2366.728;
;624;-2326.752;
;629;-2286.903;
;643;-2248.763;
;644;-2213.738;
;655;-2185.564;
;721;-2167.804;
;833;-2158.432;
;922;-2151.03;
;920;-2140.236;
;823;-2122.918;
;678;-2095.963;
;551;-2058.902;
;505;-2016.551;
;543;-1974.974;
;612;-1937.751;
;654;-1907.421;
;656;-1886.012;
;646;-1868.657;
;635;-1843.166;
;621;-1799.662;
;628;-1737.677;
;667;-1662.489;
;708;-1577.179;
;713;-1482.199;
;700;-1380.802;
;716;-1283.623;
;774;-1201.841;
;853;-1136.118;
;932;-1074.338;
;992;-1001.962;
;1023;-913.5363;
;1047;-814.3152;
;1104;-712.0248;
;1171;-609.4857;
;1196;-505.7049;
;1197;-402.8989;
;1255;-305.5099;
;1383;-212.1481;
;1507;-114.0133;
;1566;-3.495464;
;1576;117.7942;
;1581;241.6812;
;1608;359.0742;
;1660;462.7512;
;1699;546.3643;
;1695;610.6609;
;1682;665.2031;
;1725;719.396;
;1834;771.1728;
;1930;811.8409;
;1921;841.9573;
;1821;873.1508;
;1721;913.0618;
;1680;952.5364;
;1674;974.2512;
;1670;967.3127;
;1691;934.6013;
;1751;885.7737;
;1815;830.8098;
;1844;773.7744;
;1832;712.0279;
;1780;639.1777;
;1700;552.6835;
;1641;457.5385;
;1665;360.4864;
;1771;265.1283;
;1904;172.2529;
;2047;82.82512;
;2204;-4.327692;
;2338;-89.56261;
;2395;-167.9562;
;2356;-233.1923;
;2245;-287.6373;
;2120;-340.4033;
;2070;-396.9684;
;2165;-455.1641;
;2373;-510.0341;
;2570;-555.8181;
;2656;-586.446;
;2627;-597.8937;
;2538;-591.1691;
;2441;-570.775;
;2337;-542.1134;
;2209;-508.3109;
;2094;-470.5029;
;2079;-428.0992;
;2203;-381.065;
;2387;-329.5101;
;2498;-272.2077;
;2446;-206.1414;
;2239;-128.7929;
;1992;-41.46897;
;1855;49.52142;
;1855;133.8557;
;1906;201.7631;
;1960;249.6178;
;2032;283.3137;
;2116;314.6316;
;2165;353.4818;
;2140;401.1644;
;2054;452.713;
;1944;504.3836;
;1838;553.6403;
;1742;594.1611;
;1671;616.158;
;1638;616.3839;
;1653;601.4122;
;1712;580.9506;
;1793;562.2277;
;1833;550.0836;
;1777;548.2504;
;1664;556.4968;
;1582;569.0571;
;1546;578.3528;
;1497;579.8759;
;1427;571.2402;
;1400;548.4348;
;1435;511.607;
;1466;470.9377;
;1436;438.5391;
;1366;416.5208;
;1291;400.0543;
;1207;385.4156;
;1108;368.3919;
;1012;345.0539;
;946;318.9643;
;924;296.5695;
;938;275.0133;
;959;246.1235;
;937;211.2516;
;841;180.9125;
;707;160.3073;
;603;145.6558;
;554;130.2726;
;547;108.6175;
;582;78.85727;
;637;44.74184;
;649;13.11416;
;588;-10.43426;
;510;-24.27638;
;447;-31.5659;
;375;-35.5912;
;298;-35.8712;
;252;-34.81955;
;254;-44.8557;
;283;-77.71958;
;312;-130.1108;
;321;-188.4077;
;291;-242.0607;
;205;-284.3392;
;59;-310.91;
;-111;-323.801;
;-222;-331.7941;
;-220;-344.1166;
;-151;-366.1086;
;-78;-398.2611;
;-9;-437.3236;
;68;;
;116;;
;107;;
;68;;
;42;;
;26;;
;13;;
;27;;
;110;;
;269;;
;434;;
;528;;
;530;;
;475;;
;398;;
;311;;
;226;;
;171;;
;163;;
;197;;
;245;;
;272;;
;260;;
;212;;
;143;;
;64;;
;-8;;
;-51;;
;-59;;
;-30;;
;41;;
;137;;
;188;;
;135;;
;9;;
;-110;;
;-183;;
;-240;;
;-292;;
;-292;;
;-189;;
;-15;;
;122;;
;140;;
;47;;
;-77;;
;-158;;
;-185;;
;-184;;
;-166;;
;-105;;
;-7;;
;58;;
;21;;
;-105;;
;-223;;
;-260;;
;-204;;
;-91;;
;46;;
;147;;
;160;;
;108;;
;73;;
;92;;
;95;;
;24;;
;-72;;
;-79;;
;27;;
;177;;
;300;;
