Результат свертки 1 файлаГригорьевский Александр_ЭКГ_27_10_2016.crv_1_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;-831;573.1906;
-0.02122877;-1143;751.6063;
-0.02578321;-1435;946.7408;
-0.02969806;-1603;1130.672;
-0.02920786;-1659;1282.852;
-0.03152617;-1643;1396.693;
-0.03581784;-1539;1474.11;
-0.04093812;-1361;1527.434;
-0.04635295;-1202;1580.71;
-0.05216198;-1154;1654.686;
-0.05685086;-1233;1746.526;
-0.06011757;-1416;1835.08;
-0.05858566;-1665;1904;
-0.05842378;-1894;1947.868;
-0.06065361;-1995;1960.972;
-0.05845338;-1924;1936.106;
-0.06100743;-1732;1872.749;
-0.0608493;-1507;1777.974;
-0.06255765;-1319;1664.343;
-0.06710602;-1251;1551.124;
-0.06686705;-1387;1454.37;
-0.05783848;-1702;1374.358;
-0.06311763;-2018;1295.676;
-0.0642321;-2185;1197.976;
-0.06654517;-2207;1067.226;
-0.06865116;-2147;901.2266;
-0.06403776;-2014;705.7106;
-0.06371848;-1823;492.1815;
-0.06076288;-1658;281.8029;
-0.05793952;-1595;97.71307;
-0.06680156;-1651;-55.58181;
-0.06466153;-1811;-192.0568;
-0.05853221;-2048;-320.6949;
-0.06118528;-2285;-442.9955;
-0.06440077;-2429;-569.853;
-0.06171774;-2432;-717.5463;
-0.05564747;-2312;-888.3916;
-0.04932353;-2113;-1068.314;
-0.05675675;-1920;-1236.316;
-0.06284994;-1844;-1370.196;
-0.06052688;-1970;-1455.096;
-0.06928517;-2244;-1493.144;
-0.07756215;-2500;-1502.504;
-0.08440998;-2615;-1504.824;
-0.08431454;-2616;-1515.3;
-0.08448301;-2565;-1539.586;
-0.08680407;-2454;-1574.343;
-0.1005147;-2281;-1606.187;
-0.1047444;-2115;-1611.8;
-0.09495111;-2028;-1568.633;
-0.09996357;-2036;-1474.374;
-0.1001145;-2138;-1346.604;
-0.1077441;-2315;-1200.609;
-0.09355988;-2482;-1040.276;
-0.08491337;-2544;-873.5624;
-0.08072823;-2504;-716.0057;
-0.07853086;-2411;-574.9159;
-0.08229263;-2255;-442.3144;
-0.09267239;-2020;-306.5742;
-0.07502018;-1812;-156.2076;
-0.0584675;-1795;21.94518;
-0.06284614;-1993;231.9345;
-0.04117477;-2241;456.5611;
-0.0323512;-2376;666.5933;
-0.05067954;-2386;839.5549;
-0.0410386;-2327;968.5159;
-0.01999021;-2215;1058.756;
0.009037151;-2066;1124.368;
0.00619929;-1950;1185.478;
0.04129954;-1935;1258.773;
0.04622333;-2035;1344.954;
0.05585063;-2225;1431.376;
0.07953997;-2456;1506.704;
0.2038978;-2650;1564.746;
0.2038978;-2721;1596.6;
0.2038978;-2639;1594.891;
0.2038978;-2455;1566.834;
0.2038978;-2243;1531.312;
0.2025881;-2067;1504.02;
0.2020685;-2019;1492.968;
0.2003324;-2178;1503.62;
0.1993152;-2476;1535.991;
0.1982981;-2716;1577.846;
0.1950663;-2788;1606.371;
0.1865432;-2758;1602.3;
0.1805785;-2689;1562.737;
0.1746138;-2554;1499.781;
0.1677951;-2356;1431.226;
0.1614217;-2181;1378.28;
0.1483242;-2107;1361.282;
0.1362953;-2157;1385.238;
0.1227932;-2327;1433.475;
0.1087031;-2554;1480.923;
0.09363598;-2725;1507.843;
0.08067812;-2769;1502.067;
0.06837791;-2681;1459.688;
0.05200338;-2487;1385.421;
0.03944121;-2234;1286.52;
0.02851593;-1995;1170.805;
0.01389797;-1874;1055.135;
;-1951;962.37;
;-2195;900.1851;
;-2454;848.5036;
;-2588;776.2431;
;-2603;668.9175;
;-2560;533.5312;
;-2454;379.8752;
;-2282;215.2513;
;-2118;58.82611;
;-2043;-61.42487;
;-2073;-137.0781;
;-2202;-187.0363;
;-2408;-233.0475;
;-2608;-283.7862;
;-2681;-344.2252;
;-2571;-419.9427;
;-2339;-506.9292;
;-2087;-588.7237;
;-1882;-645.6796;
;-1787;-662.7831;
;-1868;-635.0964;
;-2089;-569.9426;
;-2301;-483.1124;
;-2400;-390.7924;
;-2405;-307.3038;
;-2345;-245.3975;
;-2198;-211.8812;
;-1975;-195.3298;
;-1749;-165.4974;
;-1597;-94.52313;
;-1565;19.48004;
;-1680;156.3793;
;-1920;297.7748;
;-2182;434.4606;
;-2318;556.3155;
;-2251;653.6722;
;-2024;729.4987;
;-1759;796.7828;
;-1553;868.1564;
;-1468;956.7342;
;-1534;1078.194;
;-1710;1239.897;
;-1877;1429.104;
;-1960;1617.751;
;-1986;1779.594;
;-1964;1903.464;
;-1842;1993.782;
;-1638;2063.555;
;-1479;2130.533;
;-1464;2212.26;
;-1568;2313.536;
;-1716;2421.625;
;-1869;2520.769;
;-2004;2604.117;
;-2068;2665.596;
;-2016;2694.72;
;-1877;2685.419;
;-1722;2638.809;
;-1610;2560.959;
;-1584;2467.864;
;-1701;2384.367;
;-1944;2321.607;
;-2193;2263.472;
;-2331;2183.549;
;-2352;2064.83;
;-2314;1902.755;
;-2231;1704.462;
;-2101;1492.562;
;-1975;1299.111;
;-1930;1149.23;
;-1976;1043.6;
;-2095;962.5431;
;-2270;886.6734;
;-2457;813.7378;
;-2550;748.9229;
;-2478;692.65;
;-2262;641.6268;
;-1984;596.8636;
;-1719;565.1988;
;-1556;561.1432;
;-1587;601.3539;
;-1789;690.7955;
;-1987;814.7367;
;-2045;948.6077;
;-1991;1070.727;
;-1886;1169.82;
;-1725;1246.578;
;-1513;1315.78;
;-1315;1402.878;
;-1190;1527.608;
;-1167;1685.199;
;-1266;1851.688;
;-1453;2009.855;
;-1639;2157.869;
;-1733;2293.19;
;-1691;2407.009;
;-1548;2495.524;
;-1374;2564.614;
;-1213;2623.728;
;-1120;2684.817;
;-1186;2760.491;
;-1419;2851.713;
;-1674;2941.485;
;-1828;3008.155;
;-1915;3040.35;
;-1970;3036.576;
;-1922;2998.003;
;-1734;2931.884;
;-1508;2856.793;
;-1384;2792.673;
;-1427;2743.126;
;-1627;2696.105;
;-1917;2638.14;
;-2191;2559.885;
;-2338;2451.255;
;-2309;2305.788;
;-2137;2130.07;
;-1894;1940.866;
;-1660;1752.715;
;-1541;1576.324;
;-1640;1421.618;
;-1944;1294.972;
;-2275;1193.489;
;-2465;1105.503;
;-2517;1016.515;
;-2515;914.7131;
;-2453;795.4645;
;-2295;668.7072;
;-2100;561.2161;
;-1982;499.7173;
;-1982;487.3301;
;-2087;501.4964;
;-2275;519.3787;
;-2478;533.7061;
;-2581;546.5498;
;-2513;560.6527;
;-2302;580.7615;
;-2033;614.8508;
;-1777;672.1082;
;-1602;762.8049;
;-1577;895.2953;
;-1696;1066.662;
;-1839;1257.002;
;-1893;1435.79;
;-1859;1575.481;
;-1768;1664.68;
;-1607;1710.757;
;-1395;1736.033;
;-1228;1775.008;
;-1184;1860.516;
;-1256;1993.396;
;-1389;2135.842;
;-1551;2249.395;
;-1713;2325.136;
;-1808;2373.321;
;-1752;2403.75;
;-1546;2421.583;
;-1303;2425.651;
;-1142;2412.913;
;-1119;2392.325;
;-1262;2379.803;
;-1552;2374.041;
;-1870;2349.408;
;-2066;2272.263;
;-2080;2116.044;
;-1941;1868.798;
;-1712;1542.054;
;-1467;1176.007;
;-1267;829.2986;
;-1137;555.0137;
;-1091;369.2819;
;-1174;238.7962;
;-1392;110.008;
;-1630;-47.24413;
;-1722;-230.1384;
;-1622;-424.4741;
;-1448;-620.3644;
;-1313;-811.544;
;-1196;-983.324;
;-1089;-1099.51;
;-1118;-1120.033;
;-1358;-1040.287;
;-1652;-889.9083;
;-1802;-688.3235;
;-1803;-430.5212;
;-1753;-111.4995;
;-1667;267.4369;
;-1527;715.7693;
;-1413;1251.547;
;-1434;1887.426;
;-1595;2624.564;
;-1823;3452.678;
;-2053;4355.461;
;-2247;5321.035;
;-2355;6339.748;
;-2331;7398.198;
;-2168;8489.907;
;-1913;9624.704;
;-1644;10816.53;
;-1477;12070.86;
;-1517;13386.25;
;-1745;14752.65;
;-2000;16145.12;
;-2131;17531;
;-2125;18882.56;
;-2025;20180.45;
;-1836;21412.03;
;-1583;22574.65;
;-1355;23673.14;
;-1221;24706.33;
;-1196;25654.86;
;-1296;26487.68;
;-1518;27178.01;
;-1774;27706.44;
;-1930;28053.78;
;-1908;28203.88;
;-1733;28154.08;
;-1479;27910.16;
;-1219;27474.37;
;-1040;26851.75;
;-1046;26060.32;
;-1253;25119.13;
;-1521;24027.22;
;-1687;22767.11;
;-1722;21325.63;
;-1689;19706.09;
;-1591;17924.9;
;-1403;16009.25;
;-1167;13999.43;
;-947;11939.07;
;-799;9855.01;
;-786;7754.648;
;-938;5645.053;
;-1152;3542.348;
;-1261;1467.264;
;-1194;-555.2827;
;-979;-2496.099;
;-684;-4333.327;
;-401;-6057.987;
;-271;-7659.68;
;-395;-9117.731;
;-724;-10416.64;
;-1058;-11561.44;
;-1237;-12571.36;
;-1261;-13463.51;
;-1232;-14246.74;
;-1193;-14924.05;
;-1139;-15490.51;
;-1085;-15929.94;
;-1072;-16227.21;
;-1127;-16392.26;
;-1267;-16462.48;
;-1477;-16474.89;
;-1698;-16443.41;
;-1844;-16370.17;
;-1857;-16266.18;
;-1729;-16150.46;
;-1506;-16032.6;
;-1259;-15907.49;
;-1088;-15762.85;
;-1097;-15589.88;
;-1273;-15389.53;
;-1454;-15176.72;
;-1495;-14977.88;
;-1425;-14819.31;
;-1334;-14712.42;
