Результат свертки 1 файлаГригорьевский Александцукйр_ЭКГ_27_10_2016.crv_2_obr.csvс фильтром id =-2
ФИЛЬТР;ИСХОДНЫЙ КАНАЛ 1; Результат свертки
-0.01633483;660;354.7691;
-0.02122877;685;336.6471;
-0.02578321;704;324.1193;
-0.02969806;695;312.0579;
-0.02920786;642;296.144;
-0.03152617;558;279.7369;
-0.03581784;479;266.4766;
-0.04093812;431;254.6759;
-0.04635295;406;240.713;
-0.05216198;392;222.5186;
-0.05685086;394;197.5086;
-0.06011757;413;165.3556;
-0.05858566;421;130.9174;
-0.05842378;402;100.8039;
-0.06065361;359;76.08279;
-0.05845338;293;51.1126;
-0.06100743;209;18.84218;
-0.0608493;132;-22.06675;
-0.06255765;98;-67.1446;
-0.06710602;112;-111.6721;
-0.06686705;148;-153.395;
-0.05783848;183;-191.5362;
-0.06311763;204;-227.3;
-0.0642321;207;-262.2399;
-0.06654517;176;-294.9471;
-0.06865116;110;-321.3701;
-0.06403776;48;-340.2165;
-0.06371848;35;-353.9106;
-0.06076288;54;-365.0391;
-0.05793952;69;-374.341;
-0.06680156;80;-381.8129;
-0.06466153;112;-386.8807;
-0.05853221;146;-386.7081;
-0.06118528;150;-376.7796;
-0.06440077;130;-354.5368;
-0.06171774;118;-324.4686;
-0.05564747;116;-293.8629;
-0.04932353;108;-266.3017;
-0.05675675;86;-241.1673;
-0.06284994;70;-217.8837;
-0.06052688;81;-195.2775;
-0.06928517;119;-170.5941;
-0.07756215;161;-142.252;
-0.08440998;180;-112.0686;
-0.08431454;156;-82.09776;
-0.08448301;94;-52.10898;
-0.08680407;30;-22.06722;
-0.1005147;3;6.685043;
-0.1047444;15;32.24164;
-0.09495111;48;51.45892;
-0.09996357;93;60.65826;
-0.1001145;148;59.13299;
-0.1077441;182;53.69373;
-0.09355988;172;53.6484;
-0.08491337;135;63.39825;
-0.08072823;97;78.93413;
-0.07853086;59;93.26405;
-0.08229263;16;101.2906;
-0.09267239;-31;101.5748;
-0.07502018;-58;94.93453;
-0.0584675;-44;85.0339;
-0.06284614;15;77.07422;
-0.04117477;96;73.18719;
-0.0323512;164;70.9139;
-0.05067954;189;69.41947;
-0.0410386;168;73.59228;
-0.01999021;128;88.0413;
0.009037151;103;109.6444;
0.00619929;95;129.9837;
0.04129954;83;143.6646;
0.04622333;73;150.9262;
0.05585063;86;154.2711;
0.07953997;129;156.6178;
0.2038978;178;161.2084;
0.2038978;214;169.7082;
0.2038978;219;180.4119;
0.2038978;186;190.8331;
0.2038978;134;200.8888;
0.2025881;107;209.6139;
0.2020685;124;212.7765;
0.2003324;166;208.1089;
0.1993152;206;198.2516;
0.1982981;229;184.9157;
0.1950663;234;167.4427;
0.1865432;215;149.0667;
0.1805785;163;135.7731;
0.1746138;91;127.4569;
0.1677951;42;116.7166;
0.1614217;41;98.26041;
0.1483242;59;71.8;
0.1362953;67;37.33971;
0.1227932;72;-5.384144;
0.1087031;86;-52.39406;
0.09363598;98;-96.48112;
0.08067812;99;-132.5522;
0.06837791;96;-161.5006;
0.05200338;87;-188.4506;
0.03944121;72;-216.6878;
0.02851593;65;-247.4427;
0.01389797;83;-281.3293;
;123;-318.9056;
;173;-359.0856;
;214;-399.1264;
;234;-434.8699;
;222;-461.2846;
;176;-475.4707;
;120;-481.6581;
;99;-487.925;
;131;-498.0786;
;182;-510.2888;
;218;-523.303;
;232;-537.6309;
;224;-549.3271;
;191;-551.2193;
;152;-540.1776;
;127;-519.3135;
;114;-491.3755;
;97;-457.1942;
;80;-418.827;
;78;-379.236;
;95;-339.7151;
;125;-298.8808;
;161;-254.2784;
;187;-202.7383;
;174;-141.6248;
;121;-70.38895;
;75;9.58581;
;77;95.0658;
;117;182.3269;
;156;268.6842;
;177;354.4861;
;187;441.6809;
;191;534.9086;
;187;639.301;
;184;755.5876;
;186;876.1415;
;185;993.1871;
;176;1104.471;
;176;1208.924;
;204;1303.73;
;252;1389.219;
;302;1470.216;
;345;1548.294;
;378;1621.244;
;383;1689.116;
;347;1755.953;
;294;1823.148;
;271;1886.853;
;285;1940.629;
;314;1980.05;
;349;2003.697;
;401;2014.031;
;454;2017.276;
;478;2021.352;
;469;2029.152;
;442;2037.268;
;400;2042.027;
;351;2043.768;
;326;2041.656;
;341;2032.632;
;372;2017.42;
;398;2002.365;
;420;1991.198;
;443;1982.615;
;444;1976.458;
;400;1976.633;
;328;1984.051;
;271;1993.106;
;262;1997.265;
;287;1993.702;
;326;1983.287;
;372;1968.802;
;399;1955.579;
;377;1948.851;
;335;1948.989;
;324;1949.481;
;340;1944.114;
;334;1930.626;
;303;1908.997;
;281;1879.352;
;287;1842.232;
;310;1798.558;
;345;1746.935;
;382;1686.441;
;396;1619.065;
;370;1548.501;
;328;1474.893;
;314;1394.916;
;340;1304;
;374;1198.302;
;387;1077.083;
;386;943.5441;
;381;804.4344;
;370;667.8338;
;360;537.2069;
;353;408.1524;
;342;273.9939;
;319;133.7907;
;292;-7.789828;
;270;-148.3006;
;257;-288.1431;
;257;-427.102;
;270;-565.1526;
;288;-702.6897;
;285;-837.7316;
;244;-965.5286;
;180;-1083.071;
;143;-1190.919;
;152;-1291.829;
;187;-1389.471;
;224;-1485.669;
;255;-1578.34;
;270;-1661.895;
;260;-1732.108;
;237;-1790.797;
;221;-1844.884;
;217;-1899.27;
;220;-1953.289;
;232;-2004.85;
;253;-2055.22;
;276;-2104.802;
;308;-2149.267;
;359;-2184.034;
;417;-2209.33;
