–ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË 1 Ù‡ÈÎ‡≈ÂÏËÌ ƒÂÌËÒ_› √_01_11_2016.crv_2_obr.csvÒ ÙËÎ¸ÚÓÏ id =-2
‘»À‹“–;»—’ŒƒÕ€…  ¿Õ¿À 1; –ÂÁÛÎ¸Ú‡Ú Ò‚ÂÚÍË
-0.01633483;933;-623.0998;
-0.02122877;834;-587.4992;
-0.02578321;798;-564.1812;
-0.02969806;820;-557.8134;
-0.02920786;900;-569.084;
-0.03152617;1013;-592.5449;
-0.03581784;1107;-616.0579;
-0.04093812;1147;-624.9168;
-0.04635295;1135;-612.4282;
-0.05216198;1076;-583.8143;
-0.05685086;979;-549.9597;
-0.06011757;878;-519.2094;
-0.05858566;829;-498.2045;
-0.05842378;857;-492.3998;
-0.06065361;947;-501.6535;
-0.05845338;1064;-518.2035;
-0.06100743;1183;-532.177;
-0.0608493;1269;-535.5008;
-0.06255765;1271;-522.0903;
-0.06710602;1168;-490.7649;
-0.06686705;1025;-449.3855;
-0.05783848;925;-411.2965;
-0.06311763;897;-386.5924;
-0.0642321;930;-378.1606;
-0.06654517;1015;-385.2851;
-0.06865116;1130;-404.2114;
-0.06403776;1229;-424.4136;
-0.06371848;1277;-431.8385;
-0.06076288;1271;-420.0831;
-0.05793952;1208;-393.7904;
-0.06680156;1098;-361.7238;
-0.06466153;978;-332.2771;
-0.05853221;909;-315.8318;
-0.06118528;926;-320.438;
-0.06440077;1015;-344.0611;
-0.06171774;1141;-376.9704;
-0.05564747;1269;-409.6449;
-0.04932353;1354;-434.0323;
-0.05675675;1336;-443.4761;
-0.06284994;1210;-435.7897;
-0.06052688;1059;-416.519;
-0.06928517;970;-397.1148;
-0.07756215;953;-388.8203;
-0.08440998;984;-397.6967;
-0.08431454;1062;-424.3869;
-0.08448301;1179;-464.3196;
-0.08680407;1291;-505.174;
-0.1005147;1351;-530.1498;
-0.1047444;1340;-530.7665;
-0.09495111;1262;-512.6728;
-0.09996357;1143;-486.8307;
